Timestamp,Time,Source,Destination,Discovery,Packet_length,Payload_length,Sequence_number,Mac,Manufacturer,Src_device,Dst_device,Burst
1621911503,2021-05-25 07:58:23,0x00000000,0x00008dc0,0x00000001,49,8,66,24:fd:5b:00:00:02:1d:72,"Zhejiang shenghui lighting co.,Ltd",ZC,ZED,229
1621911579,2021-05-25 07:59:39,0x0000f6cd,0x00000000,0x00000001,52,15,24,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,230
1621911580,2021-05-25 07:59:40,0x00000000,0x0000f6cd,0x00000000,50,13,74,24:fd:5b:00:00:02:1d:72,Texas Instruments,ZC,ZR,230
1621911580,2021-05-25 07:59:40,0x0000f6cd,0x00000000,0x00000001,45,8,26,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,230
1621911594,2021-05-25 07:59:54,0x0000cbf8,0x00000000,0x00000001,53,16,128,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,231
1621911594,2021-05-25 07:59:54,0x00000000,0x0000cbf8,0x00000001,45,8,76,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,231
1621911594,2021-05-25 07:59:54,0x00000000,0x0000cbf8,0x00000000,50,13,78,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,231
1621911594,2021-05-25 07:59:54,0x0000cbf8,0x00000000,0x00000000,45,8,129,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,231
1621911621,2021-05-25 08:00:21,0x00005465,0x00000000,0x00000000,57,20,254,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,232
1621911621,2021-05-25 08:00:21,0x00000000,0x00005465,0x00000000,49,8,82,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,232
1621911621,2021-05-25 08:00:21,0x00000000,0x00005465,0x00000000,53,12,84,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,232
1621911621,2021-05-25 08:00:21,0x00005465,0x00000000,0x00000000,45,8,0,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,232
1621911628,2021-05-25 08:00:28,0x00003d35,0x00000000,0x00000001,53,16,242,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,233
1621911628,2021-05-25 08:00:28,0x00000000,0x00003d35,0x00000001,45,8,86,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,233
1621911748,2021-05-25 08:02:28,0x0000ebb8,0x00000000,0x00000001,52,15,32,24:fd:5b:00:01:04:50:a5,"SmartThings, Inc.",ZR,ZC,234
1621911748,2021-05-25 08:02:28,0x00000000,0x0000ebb8,0x00000001,45,8,96,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZR,234
1621911779,2021-05-25 08:02:59,0x00007181,0x00000000,0x00000001,52,15,24,b0:ce:18:14:03:3b:30:23,"Zhejiang shenghui lighting co.,Ltd",ZED,ZC,235
1621911779,2021-05-25 08:02:59,0x00000000,0x00007181,0x00000001,45,8,99,24:fd:5b:00:00:02:1d:72,"Zhejiang shenghui lighting co.,Ltd",ZC,ZED,235
1621911791,2021-05-25 08:03:11,0x00004360,0x00000000,0x00000001,53,16,55,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,236
1621911791,2021-05-25 08:03:11,0x00004360,0x00000000,0x00000001,55,18,57,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,236
1621911792,2021-05-25 08:03:12,0x00000000,0x00004360,0x00000001,45,8,102,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,236
1621911792,2021-05-25 08:03:12,0x00000000,0x00004360,0x00000001,45,8,103,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,236
1621911792,2021-05-25 08:03:12,0x00000000,0x00004360,0x00000001,50,13,105,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,236
